Rank,Region Name,State Name,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,"New York, NY",NY,40.712776,-74.005974,236827.08,266033.25,299735.42,343624.08,387843.25,442347.00,483268.58,476056.83,452438.42,415226.75,403846.42,390579.92,377261.92,385477.92,404062.33,414246.67,425859.33,445336.33,469554.75,481806.58,493600.83,550044.17,598261.17
2,"Los Angeles-Long Beach-Anaheim, CA",CA,34.052235,-118.243683,241943.75,268873.58,306142.75,364845.33,457496.83,553647.42,621376.00,608126.17,507413.08,430364.67,430944.42,407335.67,401905.33,471110.75,516913.25,542728.08,579046.50,615096.67,657880.83,665844.50,702148.00,807171.17,915928.67
3,"Chicago, IL",IL,41.878113,-87.629799,176549.08,191223.17,205865.08,220932.25,237636.92,258311.83,275483.67,277622.17,257697.44,228436.00,212370.75,192661.75,180019.25,187844.08,201624.58,208050.92,216025.25,227980.08,237980.75,243034.67,248356.33,276496.33,304300.50
4,"Dallas-Fort Worth, TX",TX,32.707900,-96.920900,132808.17,135011.17,138513.67,142382.50,150501.18,155424.17,158789.08,161614.42,157849.58,154104.00,153334.33,147387.08,148654.17,157979.42,170512.75,186674.50,206421.42,226777.92,245533.25,256418.25,266272.83,311802.92,376481.50
5,"Philadelphia, PA",PA,39.952583,-75.165222,133527.17,141721.50,154170.67,173339.83,196947.75,226399.83,250232.67,254649.00,247900.50,234594.67,230240.83,217050.17,208110.75,210178.17,214962.58,217137.00,220698.50,229037.92,239913.67,248964.58,261152.33,298964.00,327192.67
6,"Houston, TX",TX,29.760427,-95.369804,127188.33,128732.92,132013.50,136298.00,144172.73,150766.58,153680.58,158722.58,157659.67,153815.92,153467.08,146966.25,146784.42,157187.25,172962.83,188520.42,197444.50,204210.92,211978.50,219975.17,227308.58,258184.33,297504.17
7,"Washington, DC",DC,38.907192,-77.036873,198641.92,220119.33,250229.83,287415.58,339667.42,417513.75,464624.50,447572.50,393609.17,344768.67,342627.00,336549.67,340092.67,364814.92,383244.50,384988.67,391141.42,404749.75,419384.08,433120.83,452752.17,507327.83,545990.33
8,"Miami-Fort Lauderdale, FL",FL,26.099060,-80.134361,129246.42,142257.00,162037.83,186210.42,218065.42,272724.42,328115.58,322462.00,260550.67,197716.17,177786.83,164052.67,166311.17,190548.42,219425.42,235767.92,254029.33,271221.67,288228.50,299560.92,311398.83,355586.00,427619.50
9,"Atlanta, GA",GA,33.748997,-84.387985,159177.67,170485.58,178353.50,182995.00,187308.67,193663.33,200757.67,204431.08,193617.50,168822.42,156250.00,137742.33,134603.67,150047.75,168913.25,179639.33,191796.17,206010.42,225233.83,240124.83,253903.75,301110.00,364794.00
10,"Boston, MA",MA,42.360081,-71.058884,247212.67,287834.75,325104.92,364494.42,395876.00,425527.08,421288.42,400491.25,377243.17,355025.67,357802.17,346523.50,341444.00,365258.58,388487.25,406159.75,428322.08,453264.67,481261.08,492452.83,514380.42,584651.50,644481.67
11,"San Francisco, CA",CA,37.774929,-122.419418,392941.33,465972.83,497622.92,542937.00,624931.17,746996.25,795919.25,770445.92,685577.67,592976.17,592157.00,552311.17,558216.50,685381.50,779136.50,861959.25,940406.75,993681.83,1117095.42,1117590.67,1146730.42,1295173.42,1458479.83
12,"Detroit, MI",MI,42.331429,-83.045753,147061.50,157854.58,164728.08,169770.75,175217.83,179279.17,179496.58,168255.08,145051.08,112205.42,100136.25,92090.00,93840.75,108505.25,126013.08,133714.67,143018.75,155269.58,169004.08,178598.08,188000.83,215320.83,237638.67
13,"Riverside, CA",CA,33.980602,-117.375496,149993.67,166564.75,187456.58,221010.33,279231.83,356210.83,406173.75,395641.42,298978.67,213431.08,208059.17,202125.58,202631.83,241775.33,286828.25,300736.67,319216.58,339176.42,365538.00,379362.00,399245.17,484180.67,570308.00
14,"Phoenix, AZ",AZ,33.448376,-112.074036,146945.17,155236.92,162674.00,171176.67,185962.70,249132.18,301688.33,284996.83,231099.42,171879.92,154753.83,136779.42,151513.83,184576.33,201306.08,212185.75,226955.17,241313.75,259414.92,275205.92,303332.00,385105.25,461118.17
15,"Seattle, WA",WA,47.606209,-122.332069,226406.67,240143.83,250611.50,261483.92,282698.58,322945.83,378132.25,406744.08,381663.33,333130.67,311634.67,279212.58,268545.17,304171.50,333367.17,361632.92,403384.25,454960.50,507701.92,513667.00,555030.50,659668.50,771231.00
16,"Minneapolis-St Paul, MN",MN,44.881142,-93.216812,163980.17,186382.25,206300.00,224921.08,243268.33,260114.67,267278.67,262168.33,240408.42,216815.83,211634.42,191092.17,186467.83,206805.83,224664.33,232303.50,244936.83,260295.67,278216.25,290763.75,305850.00,342644.83,371762.50
17,"San Diego, CA",CA,32.715736,-117.161087,243169.75,283139.75,323632.83,387723.50,476984.33,558830.75,564903.92,525893.58,445184.33,379611.33,385101.58,363493.25,362022.58,422834.42,462100.33,479667.67,511777.50,546453.58,584561.92,592909.50,631153.50,764222.92,901687.83
18,"St. Louis, MO",MO,38.627003,-90.199402,119367.92,127658.58,136723.08,146425.25,156510.00,165374.83,172910.58,174677.50,169631.58,162099.83,158188.50,148303.00,143036.08,145620.83,148578.67,152863.42,159121.50,167046.42,174343.42,181951.42,190190.08,215369.42,237968.17
19,"Tampa, FL",FL,27.950575,-82.457176,106943.92,116241.75,127559.33,141550.00,160574.83,195565.42,232937.08,225108.00,187279.00,151966.42,139592.17,123644.33,121446.25,135722.08,150230.33,161133.25,176862.25,193480.67,210495.58,222429.83,237256.75,289278.08,358460.83
20,"Baltimore, MD",MD,39.290386,-76.612190,160021.58,168031.17,182751.17,206104.67,240564.00,290259.67,332103.17,339150.42,321354.83,291730.50,279145.67,260652.33,253914.83,263411.83,272051.17,270690.58,275706.00,284279.42,293020.67,297649.00,306191.75,342214.00,369535.00
21,"Denver, CO",CO,39.739235,-104.990250,208853.75,236254.67,248513.42,252440.75,256876.08,262780.83,265902.17,262635.25,251567.83,244915.67,244741.42,234956.75,240933.50,266029.08,290115.25,325845.67,363684.42,395752.67,425113.58,440672.75,459606.17,539036.58,627004.50
22,"Pittsburgh, PA",PA,40.440624,-79.995888,90724.67,95260.33,100125.25,105052.08,109299.67,114447.42,118380.58,120253.08,121312.08,120986.00,125413.58,123389.00,124176.17,127501.08,131207.33,135174.67,140842.42,145319.83,153165.83,160344.17,169025.25,193664.50,210472.33
23,"Portland, OR",OR,45.512230,-122.658722,182727.50,188227.75,196285.83,206010.25,221694.08,254216.42,304504.67,323285.17,307891.25,275369.58,261070.08,238644.08,236935.75,266231.08,290754.42,316422.25,355736.58,386966.75,408211.50,417565.83,437127.33,507245.92,572535.33
24,"Charlotte, NC",NC,35.227085,-80.843124,152585.00,158311.00,161046.33,162883.00,165568.08,169638.25,177135.83,186369.17,187482.25,175986.58,168733.58,157296.33,153809.58,159675.75,169183.42,177216.58,188963.42,204879.58,222490.00,236832.83,254095.58,302769.00,366587.50
25,"Sacramento, CA",CA,38.581573,-121.494400,182353.25,214874.33,246772.50,289839.58,343850.75,421834.50,446062.67,399357.50,318394.17,264302.58,247418.50,225799.67,221610.75,275268.58,313922.92,326101.75,352179.25,381980.83,409512.75,422019.33,447616.67,533260.50,608004.67
26,"San Antonio, TX",TX,29.424122,-98.493629,130147.42,128001.67,129407.08,133318.25,143685.09,151500.42,158981.25,169479.08,171895.75,166280.92,164751.92,159611.50,160067.25,166442.25,176118.08,187473.25,199016.75,211490.50,221779.83,232808.08,241104.42,277261.58,325497.67
27,"Orlando, FL",FL,28.538336,-81.379234,127668.50,137102.33,147513.50,159194.58,177489.20,221338.17,276831.17,272153.92,224596.83,170262.67,149385.00,133717.42,135658.42,157202.58,177828.08,187527.92,202974.58,219678.50,238280.75,252752.33,265721.17,303497.33,370486.50
28,"Cincinnati, OH",OH,39.103119,-84.512016,132895.67,138787.50,143815.67,149151.17,154357.08,159164.75,163424.25,162844.42,158804.45,149279.92,149068.33,140243.92,136837.00,139632.08,142710.25,147514.08,154051.25,164737.42,174797.67,185414.50,197667.50,228429.67,253928.50
29,"Cleveland, OH",OH,41.499321,-81.694359,132137.92,137822.83,141549.50,145875.92,151440.25,156029.42,158659.17,154616.58,147216.67,138315.33,133797.67,125511.08,121025.83,123667.92,123603.92,127590.83,132345.33,140707.33,149295.42,156855.58,167112.67,192634.67,212870.00
30,"Kansas City, MO",MO,39.099728,-94.578568,120168.25,128570.58,136044.42,141944.83,147013.67,151851.08,157164.92,160580.92,158853.75,154318.58,152155.33,143428.33,140328.50,145217.42,150700.42,157378.50,166984.25,180027.08,195172.75,205239.33,217189.17,250471.17,280143.33
31,"Las Vegas, NV",NV,36.169941,-115.139832,170687.83,180699.58,191812.17,207513.50,267702.82,337972.50,357420.83,340213.25,259089.33,177786.75,150702.08,136142.33,133863.50,166980.92,194050.33,205553.08,219020.08,236917.58,274889.17,291841.00,302080.08,356012.42,433576.67
32,"Columbus, OH",OH,39.961178,-82.998795,138161.00,143954.83,149662.83,155760.00,160897.17,166245.08,169146.00,167369.17,162818.92,156017.00,153470.17,146803.42,140284.33,143851.33,152847.08,160999.83,169903.58,182622.00,197419.42,211183.58,225952.00,258928.33,289991.83
33,"Indianapolis, IN",IN,39.768402,-86.158066,,,,128184.14,130657.08,137046.58,139671.58,141195.17,140223.00,136615.92,136376.08,130540.92,129803.17,132743.50,141006.75,144091.75,150211.75,159745.67,172069.75,183444.67,196434.92,227637.33,261840.33
34,"San Jose, CA",CA,37.338207,-121.886330,481621.83,580088.58,575236.58,591707.25,652726.33,778918.25,831177.00,833056.83,735949.58,620703.00,631971.83,596010.25,631040.75,760882.50,845803.17,941878.00,1015833.67,1096438.92,1312472.50,1224255.17,1259991.67,1429169.25,1645975.83
35,"Austin, TX",TX,30.267153,-97.743057,183547.92,189053.83,188633.58,188431.75,192468.75,199671.58,206040.58,214491.17,217640.00,210374.92,207888.17,201341.08,206413.50,223983.50,247078.58,267978.00,288495.17,303518.83,316396.33,330342.00,351232.17,470990.67,581060.17
36,"Virginia Beach, VA",VA,36.852924,-75.977982,125339.33,131335.50,139207.00,152508.67,176904.50,216835.25,251652.67,262646.50,256788.42,243095.92,234643.67,221605.17,215240.50,217589.42,221944.25,224726.42,226520.67,231939.83,237689.25,245074.08,256180.83,287735.58,317615.67
37,"Nashville, TN",TN,36.162663,-86.781601,146835.08,151527.25,155019.83,158464.00,163596.25,172985.50,185398.92,194756.00,193364.58,185261.92,180665.25,173119.08,171899.58,179599.50,190500.83,204390.67,225456.58,249271.25,271031.00,282930.08,298724.33,347965.75,428556.17
38,"Providence, RI",RI,36.311005,-94.127434,160962.92,178977.67,208550.50,249462.08,291455.75,325987.25,336768.33,320901.08,296795.25,264415.08,260426.08,246753.33,234501.42,244017.00,254445.67,259547.50,270860.08,288040.75,307721.92,317316.42,334649.83,392544.50,437549.50
39,"Milwaukee, WI",WI,43.038902,-87.906471,129155.50,136581.50,144932.00,156010.33,169310.58,183903.25,192345.33,193067.17,185763.50,172096.42,169188.92,153535.33,148132.25,150552.50,158360.00,162272.67,170051.58,179244.08,190995.92,199868.08,213925.50,245566.50,265262.33
40,"Jacksonville, FL",FL,30.332184,-81.655647,123224.17,132520.00,142642.33,154445.75,171136.92,196947.42,230183.25,234749.67,213860.75,184393.75,167620.42,147894.67,142435.83,154906.42,169783.67,177258.00,187524.17,202419.75,219023.75,230321.67,242235.17,286152.83,350764.67
41,"Memphis, TN",TN,35.149532,-90.048981,125590.92,128745.33,130917.00,133248.92,135966.67,140780.83,146167.25,148918.42,138221.91,128672.42,123731.92,117444.08,115188.17,115385.83,119595.83,123056.50,126727.67,134183.33,144103.00,155252.75,167719.50,194219.25,223262.17
42,"Oklahoma City, OK",OK,35.467560,-97.516426,93134.58,97444.83,101591.08,106281.75,111894.92,117617.17,123729.92,127672.50,129152.33,129680.83,131757.25,128736.50,128766.83,132304.83,136661.33,141033.75,144409.58,148413.75,151910.67,157104.75,166409.25,185726.83,209864.67
43,"Louisville-Jefferson County, KY",KY,38.259411,-85.678008,115354.25,123351.00,128389.08,132355.42,134353.83,139833.50,144483.42,146372.25,145266.75,142850.08,141295.75,135498.42,134159.83,135807.33,140891.42,144787.58,151208.67,160457.42,170806.83,178270.67,189901.25,213451.67,234822.00
44,"Hartford, CT",CT,41.765804,-72.673370,165959.50,178690.92,193864.75,214582.83,235585.25,261185.00,280120.58,282810.58,270370.83,254549.83,246915.25,233758.92,222065.58,226068.08,228388.17,224858.92,226201.92,231732.75,236660.92,238641.42,246756.50,283147.92,311706.00
45,"Richmond, VA",VA,37.540726,-77.436050,134569.50,140818.17,150014.50,162084.92,178586.50,202873.25,228375.25,238508.00,233284.00,219283.92,209931.50,196130.50,190867.50,197146.25,203453.33,207945.67,214696.83,226223.33,237557.83,248794.08,260549.75,292987.75,321952.17
46,"New Orleans, LA",LA,29.951065,-90.071533,125208.92,134287.25,141055.17,148977.25,157387.67,166715.92,185273.67,194282.25,190332.33,184653.92,180116.75,173621.00,170765.92,174681.83,180906.17,185601.08,192185.33,197599.58,200992.75,203444.50,214433.00,238441.08,262806.00
47,"Buffalo, NY",NY,42.886448,-78.878372,95441.25,96445.67,99653.17,103489.45,109968.92,114736.17,120526.58,123847.58,125823.17,127075.00,129100.92,127842.92,126910.00,130728.00,135784.58,138498.75,143583.75,153275.08,163685.33,173093.50,183482.58,215714.08,240133.00
48,"Raleigh, NC",NC,35.779591,-78.638176,179948.25,185162.17,188158.08,190930.17,195347.50,202736.42,214997.92,226960.17,227241.08,218416.75,214554.92,204445.75,200983.00,208301.33,217005.83,226617.67,238640.50,253882.17,267853.50,281343.67,293532.58,350200.83,436638.83
49,"Birmingham, AL",AL,33.518589,-86.810356,123459.50,128435.67,132928.08,138054.50,144542.75,153240.67,162972.33,168797.08,163929.58,153125.42,148902.33,142210.17,137516.75,140317.17,143043.33,146996.33,150999.33,156791.83,164233.83,173202.92,186277.42,210943.75,237644.67
50,"Salt Lake City, UT",UT,40.760780,-111.891045,192935.50,198604.92,200154.50,200309.08,202683.00,206191.17,230498.17,273498.58,276130.33,247833.17,233071.75,213789.83,216099.00,243439.17,258715.50,273049.50,294869.67,322229.42,351403.25,378918.33,406968.08,500347.00,593006.67